2021-12-07 16:58:48.8680 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-07 16:59:05.1811 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 04:58:48","MessageId":"3882efd7-ee91-46eb-a739-9e0b8fe148f4","ClientId":"69933fca-ac13-40c7-8b99-5a6d20bbefa4","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"87PMSHCXILNPYBQT82V44DS7LXPA6IV8A87-I2XHOEV4AL4G8-Q5A134PTA62B2A1QO0EQLGFOP0TY7-4JC7207KECV012QMMUDV7DBSZK0XLDL1WABT-6JBTEWC5VPO"} | 
2021-12-07 16:59:05.2191 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | Messagio Ricevuto = | 
2021-12-07 16:59:05.2191 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt = | 
2021-12-07 16:59:05.2191 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-07 16:59:08.9462 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = Fy/XGCh/Cv+Z9lRosq3zPzuaglOTsq5iQ7jKZF+dDNpGo3ZmkzjN5e+09kSQnIXTbfE5WQL8/cH76fH7sbeaFOFLR4Z19ZPUzcKuBwKyj4Ttji74o9ve5s3eQS7kl9/+ | 
2021-12-07 16:59:08.9462 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | Messagio Ricevuto = | 
2021-12-07 17:01:45.1687 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-07 17:01:47.8187 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 05:01:45","MessageId":"98e363d2-1e28-45a8-9473-63398bde94ec","ClientId":"bb633c1a-63a4-48ce-93df-a9f9dc7ad517","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"WA1J529CFE9UHFGZJ6VZNL595VXE-4VT5OQYRCDEWGGSZON2R8Y3V8SKG2OKE4DMTP04ZSIH3RCHENJQH6XBF3977FSZY3-2D59KZUC90R-D5KF3T9CJGBG0Q37TATT-"} | 
2021-12-07 17:06:51.6907 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-07 17:06:57.3707 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 05:06:51","MessageId":"03ec4fd4-bd86-4d90-80fb-8aaf41475b21","ClientId":"9ec3044c-cb11-4e4b-bbe5-9c5fc5e694f2","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"94UTIQMMLM5T9OUMLYY-HA7RWGW9JTV14UZ2TQ31PGEJTTHNW5XR1I698D7C5NC22EZPZ34567UA6X8C9JNP6D-WY14QU07BDNSO53Y4A2W5Y6DLF5DWAY7YFC189NLF"} | 
2021-12-07 17:06:57.4087 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | Messagio Ricevuto ={"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 05:06:57","MessageId":"eb03f4ec-768f-4887-b4ef-2609b219bd77","ClientId":"9ec3044c-cb11-4e4b-bbe5-9c5fc5e694f2","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":"94UTIQMMLM5T9OUMLYY-HA7RWGW9JTV14UZ2TQ31PGEJTTHNW5XR1I698D7C5NC22EZPZ34567UA6X8C9JNP6D-WY14QU07BDNSO53Y4A2W5Y6DLF5DWAY7YFC189NLF"} | 
2021-12-07 17:06:57.4087 | DEBUG | Hermes.Log.LogEngine | Hermes.Utility.Functions.Encrypt | Encrypt =uEfJ69LPzOBjMeDO1r3R8rlR6pZZu7Il+CB5k7MNPN+1010jfZk6zhK7orKj0K7q3dglOr7Cp87dcR+JgVARwziHGJaDM5uWavDkp9JkTcUtmpVUPDNiRGZ0oytWWhGguo+xzPlOEYu0PXfWy2sT7vqrjJO99I5ykIGa0EtRXcvGSbpy8aNFzCuhAFwZnkh3HCWk87j6DHZabyqPpts4cvaH7k8r8Qmh31Vl3YS/IVE= | 
2021-12-07 17:06:57.4087 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Socket connected to 127.0.0.1:34000 | 
2021-12-07 17:07:01.3629 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Client.Send | Response = uEfJ69LPzOBjMeDO1r3R8rlR6pZZu7Il+CB5k7MNPN+1010jfZk6zhK7orKj0K7q3dglOr7Cp87dcR+JgVARwziHGJaDM5uWavDkp9JkTcUtmpVUPDNiRGZ0oytWWhGg | 
2021-12-07 17:07:01.3629 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Client.Client.Connect | dataReturn =uEfJ69LPzOBjMeDO1r3R8rlR6pZZu7Il+CB5k7MNPN+1010jfZk6zhK7orKj0K7q3dglOr7Cp87dcR+JgVARwziHGJaDM5uWavDkp9JkTcUtmpVUPDNiRGZ0oytWWhGg | 
