2021-12-07 09:37:54.7557 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 09:37:57.3965 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 09:42:37.4461 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 09:49:05.0411 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 09:49:05.0731 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 09:49:31.2553 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 09:53:22.5910 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 09:53:22.6166 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 09:53:37.5423 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 09:57:43.6731 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 09:57:43.7001 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 09:57:54.1943 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 10:24:09.2884 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 10:24:09.3054 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 10:24:29.1893 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 10:24:34.1255 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 15:53:09.8063 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 15:53:09.8273 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 15:53:27.9594 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 15:54:48.6726 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 15:59:20.6436 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 15:59:20.6716 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 15:59:29.5332 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:00:41.0973 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:07:58.5709 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:07:58.5889 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:08:06.6851 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:11:15.2262 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:11:15.2493 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:11:41.3380 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:11:50.4864 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:15:00.0647 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:15:00.0867 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:15:07.8017 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:18:23.6752 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.Start |  Server start in 127.0.0.1:34000 | 
2021-12-07 16:18:23.7102 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
2021-12-07 16:18:31.5660 | INFO | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 |  Sono in ascolto  | 
