2021-12-07 09:42:37.4461 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 09:42:37.6187 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 9: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 09:42:21","MessageId":"59d626dd-b4fb-4e58-ba7e-fba3a4fffd14","ClientId":"ebfc0d0b-2f5b-4b3a-ad56-7feee3d08067","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-07 09:49:31.2553 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 09:49:31.4183 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 9: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 09:49:30","MessageId":"0272869d-cba9-4a9b-841b-6b62fbb623f9","ClientId":"17d01d96-8ce1-4f04-848a-050ec67e8d91","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-07 09:53:37.5423 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 09:53:37.7024 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 10: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 09:53:36","MessageId":"9e89b8b9-a6ff-4b48-ac37-f84a739d21eb","ClientId":"3fd80829-7f63-4638-84fc-6f843cb7f65d","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-07 09:57:54.1943 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 09:57:54.3563 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 10: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 09:57:54","MessageId":"cb002367-bc9c-4621-9e1c-421fa95d856c","ClientId":"602b9a95-a79d-4c9c-a4c7-79aa820ebf7d","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-07 10:24:29.1893 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 10:24:29.3553 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 10: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 10:24:28","MessageId":"976c1ffd-60dd-47ad-8478-7933a35075c7","ClientId":"37e34f02-4403-4bc3-98c3-3bed6c0ce8fb","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-07 10:24:34.1255 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 10:24:34.1255 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 11: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 10:24:31","MessageId":"2dec207d-7fd5-4945-9d0a-2fc731cc748f","ClientId":"37e34f02-4403-4bc3-98c3-3bed6c0ce8fb","TopicId":null,"Text":"AUTH1:GXr2HhCUV0U1W1ofBzNXSmGXoZjzK8HxMao9BnMciITi9CYeClK4Czscw75nNWZ4B | 
2021-12-07 10:24:41.1781 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 11: Received: gBx7aAZucNgwo6S7Gbu4B0VyV95Vh01bM+7Xjd2aw0ZSwNeYfiF4ZFbai1GLiiV","Bag":null,"Token":"DNB4Y0276CCG6KQQKMKSJN25S35VKH225F340VWZ4DNCEA8HUZ8N0U40VGM56HXZLKL0SX0Z1VYGAZ0S5XBVKOBKMCIUJ24XQY25ZIZ89IXF7X06R5-IFCP7IAOQOGQ-"} | 
2021-12-07 15:53:27.9594 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 15:53:28.1334 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 9: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 03:53:27","MessageId":"fa8b0ce1-97a9-4501-bf3f-10d39a947635","ClientId":"f9ebbabd-0b5c-42c3-a522-2c9473448ef3","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-07 15:54:48.6726 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 15:54:48.6726 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 10: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 03:53:29","MessageId":"47b9d9bb-43e4-441f-807f-6b4854045d46","ClientId":"f9ebbabd-0b5c-42c3-a522-2c9473448ef3","TopicId":null,"Text":"AUTH1:4+0VYo47WzKRBPRIN05c5kwmuuC2n8gLM8pMpz+Cg9nnOeOosrOIPKht+Y+OmII7q | 
2021-12-07 15:59:29.5332 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 15:59:29.7052 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 10: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 03:59:29","MessageId":"622860c0-295b-4899-8abf-f713edf0344e","ClientId":"7256a07e-4466-494e-9760-a7c40ab1be78","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-07 16:00:41.0973 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 16:00:41.0973 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 9: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 03:59:38","MessageId":"4535f5ee-8202-4871-8ec7-2ac3a98ab8fe","ClientId":"7256a07e-4466-494e-9760-a7c40ab1be78","TopicId":null,"Text":"AUTH1:PNSqVNEIc3QmGRc2t6laXXCV6O4IDd6F/wm9/nTk4GkT7+gdzDgszYu9eJEb2IGiZ | 
2021-12-07 16:08:06.6851 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 16:08:06.8541 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 10: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 04:08:06","MessageId":"e1566fed-8c8f-4fa5-ae06-a3113b812a5f","ClientId":"4369e6af-67e5-4005-ae12-b253b825c53e","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-07 16:08:06.8651 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-07 16:08:24.9553 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-07 16:11:41.3380 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 16:11:41.5146 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 9: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 04:11:41","MessageId":"b88c0705-c193-4524-bcee-50f4b4f06426","ClientId":"943e8783-b4d5-4eeb-aac5-c0d4d1c42055","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
2021-12-07 16:11:41.5146 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-07 16:11:46.6354 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-07 16:11:50.4864 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 16:11:50.4864 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 6: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 04:11:46","MessageId":"ac5c7c24-684a-4221-98d1-f81e0eea9e3f","ClientId":"943e8783-b4d5-4eeb-aac5-c0d4d1c42055","TopicId":null,"Text":"AUTH1:4P2cSkGP0w+IW7nrw6jWjLrjV6etsmYr0nQqZUF2gjPpN+6OjvUZaTquxHs0F9S+RjUlFh+kLbt+nw2aZKlPvTpM/w23IIH4BQ+Mjd2YTyNVlabXftSJXmK054KSrXYM","Bag":null,"Token":"I1MLH3-USD73YEQAJBTIDPBP4166IVH0SBR48TRLRAFJV2XOCIJ-VPH408RR8EL77HLWXWD1UI2DJ24BER4-MHEC5XE-BAONZINORA1QFSPNYDU8DPMRKLUZCI2ASDZU"} | 
2021-12-07 16:11:50.4864 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | RerceivedData = | 
2021-12-07 16:11:59.1830 | DEBUG | Hermes.Log.LogEngine | Hermes.Comunication.Server.Server.<.ctor>b__6_0 | received = | 
2021-12-07 16:15:07.8017 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.<Start>b__17_0 | Connected! | 
2021-12-07 16:15:07.9917 | DEBUG | Hermes.Log.LogEngine | Hermes.Channel.Tcp.Server.HandleConnection | 10: Received: {"SenderIP":null,"SenderPort":0,"Date":"2021-12-07 04:15:07","MessageId":"38ca0a3b-5f0d-411e-b659-ff1d82f6de0b","ClientId":"a6d59d00-2ee8-47aa-a23d-02a4ba5a8de5","TopicId":null,"Text":"AUTH0:","Bag":null,"Token":null} | 
